Instance,Mean,,Median,,Standard deviation,
,MOEA/D,NSGA-II,MOEA/D,NSGA-II,MOEA/D,NSGA-II
116,0.79512839094715,0.8019855573565,0.97178177755,0.9739844991,0.37048758834418083,0.3616591555868166
117,0.8561881145031,0.872850571299,0.9933577035000001,0.99754067025,0.31395793084244583,0.2970084864803408
118,0.86950211167,0.890673565926,1.0060613555,1.0148740594999999,0.30630251882897297,0.28294903634476926
119,0.8533144580705,0.865808805832,0.8814138084500001,0.88615497305,0.26484275729478274,0.25086676971239974
120,0.8764660601375001,0.9360133644899999,0.9565239142999999,0.99471401745,0.22385975589797832,0.16734716515468587
121,0.869893956109,0.889291530765,1.0280579900000002,1.0366420365,0.2781565694507955,0.25685455763530046
122,0.8292313416935,0.849309771905,0.9661003933,0.97476571175,0.3094912416670361,0.28921539149489905
123,0.8178943690035,0.857981838655,0.971114708,0.98949559835,0.2646504706094933,0.22820750790912242
124,0.8564647813165001,0.894499382515,0.98972356435,1.007586951,0.27169925464679784,0.23084466456192695
125,0.9909101688362499,0.9992846294725,1.06243102,1.067351108,0.23917921436716177,0.2259048581634949
126,0.8277972790365,0.883948931925,0.99578423775,1.018137688,0.2885347356205665,0.23496250505288377
127,0.874067706342,0.92845508495,1.0053678085,1.0300175305,0.27498132069479325,0.21757913294645856
128,0.911950973222,0.938381534215,1.018084013,1.0312153419999999,0.2443052693156332,0.215229334913988
129,0.859537956875,0.900063672575,0.9932630636499999,1.0132082114999998,0.26115873306878495,0.22301336445258635
130,0.8501912250033999,0.857390414919,0.9552501927499999,0.9580978115500001,0.28973929875960613,0.28136954498404
131,0.9225913261047,0.95299579653,1.04904287,1.061274528,0.2716490916310592,0.23757394732213188
132,0.81753198208515,0.8339270053665,0.8699918926500001,0.8760520185,0.2897971713228556,0.27648806062597414
133,0.8984126877985,0.933101736555,0.9299643307000001,0.9571038321,0.2367498337763008,0.2044926132373353
134,0.8469516574979999,0.882425402625,0.92270802055,0.9427980567,0.26542860218095643,0.2374110829690897
135,0.9019883260835,0.95650550562,0.95857050535,0.9962488243000001,0.2273625010580857,0.17478281079669658
136,0.780687713876,0.83969226148,0.9183220348500001,0.9465323379999999,0.279932617774463,0.23220993279579677
137,0.625882473938,0.66508287102,0.64444427885,0.66466282805,0.37345968171119026,0.3424256535190269
138,0.9050000741305,0.94873827983,1.0063272045,1.0325864415,0.24221435387906642,0.19709628619058206
139,0.8878507438296,0.908809446415,1.0274988035,1.0368955595,0.2816360411015933,0.25952540632686794
140,0.7277077548085,0.771907106455,0.7856440256999999,0.8141122514500001,0.2799119536556799,0.24250014661391311
141,0.8343506351445,0.8556486561159999,0.99135411585,0.99999435145,0.3084663176561572,0.2887449062303635
142,0.7417531427955,0.821844385765,0.94082992845,0.9726500849499999,0.36091086039190184,0.28525670996981506
143,0.8233969363505,0.86778838941,0.99713661685,1.0167689945,0.3312163102144045,0.28677095265184366
144,0.717277498264,0.74939514208,0.89484410805,0.9025095054000001,0.341016560023498,0.30665735630600605
145,0.79653199022885,0.8008281185565,0.89414678295,0.8906169604,0.3076977497848803,0.30085183217552885
146,0.789502566146,0.85846987999,0.9378253185000001,0.9692138591999999,0.29663148968992226,0.2333164537203934
147,0.85942865938,0.917230002435,0.9946710464999999,1.0243493945000002,0.26855294284947573,0.2112814061604301
148,0.8549123538815,0.878584910265,0.98659459825,0.98997223785,0.28726104507416284,0.2579821314378146
149,0.720675330699,0.772267072355,0.74808991835,0.78650527385,0.27339767448058483,0.23630342881265515
150,0.8459097001695,0.8760465953,1.0108036777,1.0205756400000001,0.31549378642758463,0.2845530699171456
151,0.8918708132525001,0.921571286375,1.006831992,1.0183933855,0.25626026668536217,0.22358379294852831
152,0.646528490067,0.74828894656,0.8695093468,0.905962859,0.3500327264082359,0.2629465196474315
153,0.8812353710515,0.8857511607045,0.95951540405,0.9612630739,0.28162154981477805,0.2764466659106451
154,0.9221634748824,0.925535845417,1.042660061,1.042974505,0.2621408147387741,0.25639556815956827
155,0.860335570789,0.88317388078,1.013209496,1.0231107074999999,0.3134197843165541,0.2860053112705888
156,0.89819857721,0.917799634795,1.0250584655,1.0355342185,0.2696670940404775,0.25015440068077377
157,0.9121574881605,0.93980590171,1.0412727335,1.0555637385,0.2779682749161539,0.24955972466248694
158,0.9075165321775,0.92664196925,0.9926080953,0.9987084633000001,0.2489520537263268,0.2275954444736921
159,0.750628349789,0.82569585716,0.8874274093500001,0.9237543924,0.3103624360152293,0.24159427459591118
160,0.854439895995,0.8689987512895,0.9664925038,0.9674382331,0.3196732120721154,0.2997195274728835
161,0.849146272744,0.86703228232,0.9613875086,0.9734817304,0.24699034059709496,0.23115360039083163
162,0.806706362538,0.819341224943,0.97149651845,0.974425224,0.3561092321476163,0.34239576660704235
163,0.5113675679595,0.63098881387,0.36546293355000004,0.5212995328,0.3455636402116417,0.2746513521038387
164,0.8529239182675,0.907135312385,0.9826061945,1.0074993405,0.2643893643222361,0.21235936185598703
165,0.794585993801,0.8167837234715,0.88043125135,0.8897165593,0.3169703848352799,0.2928923198428732
166,0.7130643137605,0.79140332902,0.8314023745000001,0.8702111823,0.3193714898504675,0.25416971761679674
167,0.8767567097211,0.878254180692,1.02194009535,1.0224707964,0.29254776734746246,0.2905677747024647
168,0.804420660405,0.87571972807,0.9526209741,0.9878706614499999,0.28148289783791397,0.2125670627215932
169,0.9161733043725,0.934823815345,0.999452748,1.0115116155,0.2392712455546025,0.2229483989153625
