Instance,Mean,,Median,,Standard deviation,
,MOEA/D,NSGA-II,MOEA/D,NSGA-II,MOEA/D,NSGA-II
55,0.7887509132,0.7861569841,0.934379223,0.934379223,0.289795420384915,0.295865674276262
56,0.90328365935,0.903168978215,0.9747250705,0.9747249445,0.22032856761710037,0.22047300960531382
57,0.74002674115,0.73439120165,0.8627291105,0.8605333045000001,0.28619095495914715,0.29104176055764047
58,0.77347195395,0.77310052755,0.8379457100000001,0.837146367,0.2603618268772883,0.26077254469736033
59,0.78925830185,0.78595980813,0.9127386575,0.9097412975,0.24933761720016206,0.24779653472322413
60,0.7337857495,0.732855927,0.8317771435000001,0.83169643,0.2969100914737664,0.29857239036311795
61,0.8091062906,0.80770171745,0.9349369715,0.932663421,0.2808848645110062,0.27869295155137797
62,0.8137792038,0.811458368465,0.937887891,0.9367374369999999,0.27042336157148006,0.2696022069992389
63,0.81795650825,0.81713361871,0.948694413,0.9457692289999999,0.2697495607190238,0.26166295374279486
64,0.8191627686,0.81894117205,0.9029971215,0.8977955365,0.2376121456022173,0.2255679187289457
65,0.7943296248,0.79697386655,0.964551591,0.9640446005000001,0.3173408793252385,0.30842384727237926
66,0.8222716882,0.8239477274,0.9613029845000001,0.9609862655,0.2662082377323231,0.2595786284989613
67,0.7919369989,0.80193771975,0.9419583330000001,0.9376317705,0.27872561118102424,0.24670622366453598
68,0.892472275275,0.897540215775,0.9706472049999999,0.968547665,0.21536511716807005,0.18019527950946101
69,0.833634963705,0.84258162406,0.9674832824999999,0.9642661315000001,0.28112634147110294,0.2522622234497712
70,0.921642052905,0.929819989005,0.9783879520000001,0.9760436435,0.20782583242911035,0.16782390899232275
71,0.83613849915,0.8498062316,0.9863088675,0.985145427,0.2509204547680049,0.20625190112429076
72,0.79869855653,0.80496330898,0.9554234845,0.953756656,0.2645519555243664,0.2388964442760649
73,0.853729419,0.8563602181,0.937941698,0.93667699,0.23578123848092822,0.2225941047779664
74,0.816402180505,0.83104330706,0.9501986085,0.944440156,0.29974693892125104,0.2554974677140917
75,0.85549915412,0.85980564742,0.969530953,0.9681290845,0.24123880769536754,0.22120375507987322
76,0.8313146206,0.83258618325,0.9498116775000001,0.947525311,0.25633709184740006,0.24686323424751938
77,0.79910605525,0.80323502021,0.8583702225000001,0.854612154,0.24417206457777982,0.22364546073588742
78,0.82048702065,0.82443815144,0.9265460095,0.9246712525,0.24701149963558366,0.22921991047781368
79,0.8391832318,0.84043107076,0.963818933,0.9631190015,0.2399151544794823,0.23106561357742117
80,0.80377103445,0.804849494355,0.9469197410000001,0.9468731505000001,0.2737850998398733,0.2703384640370408
