Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
281,0.2833333333,0.0897527468,0.1440798859,2.8772889417,0.2983931986,0.15,0.0816496581,0.3098591549,1.89375,0.137783798,0.5666666667,0.0906764701,-0.0321100917,2.2420562454,0.0683054125,0.5666666667,0.0906764701,-0.0321100917,2.2420562454,0.0683054125,0.7866769605700001,0.77982109046
282,0.3,0.115207323,-0.0398550725,3.3388065303,0.7758496536,0.1981818182,0.0899311031,-0.0121131594,2.6256667046,0.3168916034,0.5018181818,0.1008886138,-0.0939492985,3.5922104459,-0.6206503355,0.5018181818,0.1008886138,-0.0939492985,3.5922104459,-0.6206503355,0.9140679904,0.9038830371000004
283,0.2828947368,0.1113767408,-0.0967255057,3.1036347017,0.6048367706,0.2092105263,0.1123055414,0.0498073934,2.2890755018,0.2016176306,0.5078947368,0.1254079217,0.1236477632,2.2652356081,0.1311163027,0.5078947368,0.1254079217,0.1236477632,2.2652356081,0.1311163027,0.9346275911499996,0.91996333785
284,0.3404761905,0.1113970244,0.0740202861,2.9750144051,0.5369951431,0.2,0.088640526,0.1551724138,3.2396694215,0.1794787511,0.4595238095,0.0983422687,0.2487283326,3.6897708797,0.0715540633,0.4595238095,0.0983422687,0.2487283326,3.6897708797,0.0715540633,0.8176499092,0.8037478387
285,0.3571428571,0.1122133536,-0.2083041754,3.0393247506,-0.4212322736,0.1785714286,0.0965739645,0.3428027022,3.7055360572,0.807438044,0.4642857143,0.1011162193,0.2438818565,2.5177489333,-0.0190347503,0.4642857143,0.1011162193,0.2438818565,2.5177489333,-0.0190347503,0.8325342605599999,0.82670102228
286,0.4805555556,0.1608474855,0.5403732289,2.6125737362,-0.3981957112,0.2319444444,0.1318420655,0.4541241859,2.3734009929,0.4573518741,0.2875,0.1126542153,-0.1471698113,2.2883799529,-0.1684876869,0.2875,0.1126542153,-0.1471698113,2.2883799529,-0.1684876869,0.8101321451500001,0.8090143726000001
287,0.4081395349,0.1252579815,0.4227144651,2.2534944089,0.1080140102,0.2093023256,0.1244783599,0.4459446544,2.949109308,0.5289723504,0.3825581395,0.1072292268,-0.0033507403,2.4405863125,0.2871561228,0.3825581395,0.1072292268,-0.0033507403,2.4405863125,0.2871561228,0.690555112165,0.69005972965
288,0.4175675676,0.120368924,0.3208251701,2.509765402,-0.0322114506,0.1364864865,0.069407384,0.5017561924,2.4244241019,0.2479416751,0.4459459459,0.1117298736,0.1639899111,2.1837613385,0.2760291342,0.4459459459,0.1117298736,0.1639899111,2.1837613385,0.2760291342,0.8470881909300001,0.8435009739
289,0.2595238095,0.1230747427,0.1737206308,1.8451058213,0.393196034,0.2023809524,0.1149287465,0.4123726172,2.2376720883,0.2005525574,0.5380952381,0.1079073257,0.1889164676,2.8617896161,0.308627746,0.5380952381,0.1079073257,0.1889164676,2.8617896161,0.308627746,0.7246643570899999,0.7185220971999999
290,0.3671052632,0.1040472538,-0.0624459363,2.4169191623,0.0484648271,0.1368421053,0.0694756778,0.2514086284,3.690785885,0.5357222037,0.4960526316,0.1090518822,-0.0197228208,2.8629266488,-0.6142503638,0.4960526316,0.1090518822,-0.0197228208,2.8629266488,-0.6142503638,0.81987177975,0.8145073000999998
291,0.3,0.1017292348,0.0387596899,5.2250347178,0.4638883929,0.1930232558,0.07893285,0.249085516,3.3720714428,0.2658555769,0.5069767442,0.1159297077,-0.1322841188,2.6831847423,-0.191955001,0.5069767442,0.1159297077,-0.1322841188,2.6831847423,-0.191955001,0.7867387521500001,0.7813230146500001
292,0.2865384615,0.0995737959,0.1147588079,3.5270779037,0.7343149443,0.1858974359,0.0916016445,0.2551880477,3.6804641797,0.4571751759,0.5275641026,0.1111269302,0.1690330269,2.7827459424,-0.218707808,0.5275641026,0.1111269302,0.1690330269,2.7827459424,-0.218707808,0.8766200691500001,0.8683743392500001
293,0.312,0.1133843023,-0.0307836139,2.3022586312,-0.0305583864,0.178,0.0954777461,0.2351149214,5.5979239642,1.0366840289,0.51,0.1204159458,-0.0271693928,2.9157193817,0.125427311,0.51,0.1204159458,-0.0271693928,2.9157193817,0.125427311,0.806021531065,0.8025293424000001
294,0.31,0.0952190457,-0.1299435028,2.1335423875,0.6393925972,0.13,0.0627162924,-0.1282660333,2.6987934502,-0.2270109981,0.56,0.1113552873,0.0654205607,2.8662851197,0.1462914154,0.56,0.1113552873,0.0654205607,2.8662851197,0.1462914154,0.850828896775,0.8475177983
295,0.2676470588,0.0938415067,0.020714594,3.7107352527,0.2032916919,0.1933823529,0.0969780189,0.2670570203,2.8005762031,0.6585194424,0.5389705882,0.1080732282,-0.3047345797,2.7962590549,-0.0029610732,0.5389705882,0.1080732282,-0.3047345797,2.7962590549,-0.0029610732,0.7717136141800001,0.74919975311
296,0.3318965517,0.1053312819,0.2747201377,2.7608423368,-0.0049076547,0.1517241379,0.092366174,0.3014755916,4.1530282024,1.0981268194,0.5163793103,0.1005964673,0.2049019048,2.9549120874,-0.1858081709,0.5163793103,0.1005964673,0.2049019048,2.9549120874,-0.1858081709,0.7774361915500002,0.77424955295
297,0.4055555556,0.0911178859,0.2741238598,2.8655905806,-0.4401703708,0.1444444444,0.0848018751,0.4346219443,2.9561237083,0.5156623813,0.45,0.0927960727,0.0,2.650364204,-0.3128608487,0.45,0.0927960727,0.0,2.650364204,-0.3128608487,0.8410473582550001,0.8405389445999999
298,0.3035714286,0.1329128148,0.2865334119,3.8386576132,1.0183225585,0.2035714286,0.08549078,0.1904462602,3.3307840611,-0.5398019849,0.4928571429,0.1131641394,0.0720583764,2.8114633101,-0.4141741761,0.4928571429,0.1131641394,0.0720583764,2.8114633101,-0.4141741761,0.8385488845,0.8363505045999998
299,0.285,0.1201041215,-0.0464269616,2.6066849088,0.2337659703,0.181,0.1126454615,-0.0782979247,3.994083953,1.0547614555,0.534,0.1214248739,-0.0920968824,1.8879056976,-0.068811262,0.534,0.1214248739,-0.0920968824,1.8879056976,-0.068811262,0.8577118554099998,0.8531043690499999
300,0.2689189189,0.11703046,-0.1585665629,2.4599370667,0.2358545132,0.2121621622,0.1002735484,0.4417137145,2.3863104662,0.0062855127,0.5189189189,0.1135135135,0.0181352023,2.8255277026,0.497803288,0.5189189189,0.1135135135,0.0181352023,2.8255277026,0.497803288,0.84002270972,0.8301707172199999
